Real,Previsto
199950.0,286147.98560700874
498000.0,626833.0266666666
450000.0,267351.6029645315
170000.0,200936.93244246475
351360.0,200936.93244246475
168000.0,200936.93244246475
95000.0,200936.93244246475
332500.0,497401.9864364982
298500.0,267351.6029645315
816700.0,753897.339055794
445200.0,403101.6424242424
796000.0,570352.2276785715
288000.0,200936.93244246475
1690000.0,2430432.5064935065
485000.0,753897.339055794
139900.0,365093.23529411765
650000.0,286147.98560700874
335000.0,200936.93244246475
880000.0,798450.7593880389
595000.0,684041.4696969697
1170000.0,523130.54054054053
435000.0,200936.93244246475
695000.0,286147.98560700874
330000.0,497401.9864364982
399900.0,398676.9759450172
287000.0,200936.93244246475
67500.0,200936.93244246475
515000.0,286147.98560700874
870000.0,575612.015625
725000.0,395913.0081300813
295000.0,200936.93244246475
236000.0,267351.6029645315
805000.0,575612.015625
1200000.0,744449.0
