Index;Type; Price ;Area;Location;Property
10455;T2;345 000,00 €;117.50;Porto;Apartments
10456;T2;331 500,00 €;117.50;Porto;Apartments
10457;T2;355 000,00 €;117.50;Porto;Apartments
10458;T3;342 000,00 €;108;Porto;Apartments
10459;T2;350 000,00 €;116;Porto;Apartments
1046;T3;307 000,00 €;135;Lisboa;Apartments
10460;T3;410 000,00 €;144.50;Porto;Apartments
10461;T3;398 000,00 €;144.50;Porto;Apartments
10462;T2;330 000,00 €;117.50;Porto;Apartments
10463;T2;338 000,00 €;116;Porto;Apartments
10464;T2;340 000,00 €;117.50;Porto;Apartments
10465;T3;388 000,00 €;144.50;Porto;Apartments
10466;T0;190 000,00 €;31;Porto;Apartments
10467;T1;375 000,00 €;50;Porto;Apartments
10468;T0;275 000,00 €;38;Porto;Apartments
10469;T0;210 000,00 €;40.80;Porto;Apartments
1047;T1;250 000,00 €;43;Lisboa;Apartments
10470;T3;900 000,00 €;112;Lisboa;Apartments
10471;T3;306 000,00 €;119;Porto;Apartments
10473;T2;635 000,00 €;74.25;Faro;Apartments
10474;T1;305 000,00 €;55;Porto;Apartments
10475;T1;235 000,00 €;59;Faro;Apartments
10477;T1;269 500,00 €;48;Faro;Apartments
10478;T0;249 000,00 €;40;Porto;Apartments
10479;T3;1 100 000,00 €;139;Faro;Apartments
1048;T2;198 000,00 €;65;Lisboa;Apartments
10480;T1;165 000,00 €;50;Castelo Branco;Apartments
10481;T2;220 000,00 €;83;Castelo Branco;Apartments
10482;T4;710 000,00 €;188.10;Porto;Apartments
10483;T1;595 000,00 €;81;Faro;Apartments
10484;T2;635 000,00 €;94;Faro;Apartments
10485;T3;300 000,00 €;90;Set??bal;Apartments
10486;T2;139 000,00 €;100;Set??bal;Apartments
10487;T2;850 000,00 €;103;Lisboa;Apartments
10488;T2;185 000,00 €;112.90;Aveiro;Apartments
10489;T3;220 000,00 €;132.90;Aveiro;Apartments
